Index,Active,Type,Module,Terminal,Channel name,scaling type,units,Param1,Param2,Param3,Param4,Param5,,,,Scaling types:,
0,1,measurement,0,0,time,1,s,0.000001,0,,,,,,,0,no scaling required
1,1,measurement,1,0,gearbox,2,ºC,,,,,,,,,1,linear scaling
2,1,measurement,1,1,compressor bearing,2,ºC,,,,,,,,,2,thermocouple CJC calculation
3,1,measurement,1,2,shaft bearing,2,ºC,,,,,,,,,3,Hotwire? Polynomial?
4,1,measurement,1,3,oil outlet,2,ºC,,,,,,,,,4,encoder: pulse per revolution
5,1,measurement,1,4,inlet 1,2,ºC,,,,,,,,,5,RTD scaling
6,1,measurement,1,5,inlet 2,2,ºC,,,,,,,,,,
7,1,measurement,1,6,outlet 1,2,ºC,,,,,,,,,,
8,1,measurement,1,7,outlet 2,2,ºC,,,,,,,,,,
9,1,measurement,1,8,CJC_A,0,ºC,,,,,,,,,,
10,1,measurement,1,9,CJC_B,0,ºC,,,,,,,,,,
11,1,measurement,2,0,RTD_0,5,ºC,1,0,,,,,,,,
12,1,measurement,2,1,RTD_1,5,ºC,1,0,,,,,,,,
13,1,measurement,2,2,RTD_2,5,ºC,1,0,,,,,,,,
14,1,measurement,2,3,RTD_3,5,ºC,1,0,,,,,,,,
15,0,measurement,3,0,,,,,,,,,,,,,
16,1,measurement,3,1,inlet pressure,1,bar,1405.2,0,,,,,,,,
17,1,measurement,3,2,outlet pressure,1,bar,2290.3,0,,,,,,,,
18,1,measurement,3,3,plenum pressure,1,bar,2326.3,0,,,,,,,,
19,1,measurement,4,0,Motor speed,1,RPM,74300,0,,,,,,,,
20,1,measurement,4,1,V-cone delta P,1,bar,37.5,-4,,,,,,,,
21,0,measurement,4,2,,,,,,,,,,,,,
22,0,measurement,4,3,,,,,,,,,,,,,
23,0,measurement,4,4,,,,,,,,,,,,,
24,0,measurement,4,5,,,,,,,,,,,,,
25,0,measurement,4,6,,,,,,,,,,,,,
26,1,measurement,4,7,Motor power,1,W,5500,0,,,,,,,,
27,1,measurement,5,0,Accelerometer,1,m/s/s,98.1,0,,,,,,,,
28,1,measurement,5,1,,,,,,,,,,,,,
29,1,measurement,5,2,,,,,,,,,,,,,
30,1,measurement,5,3,,,,,,,,,,,,,
31,1,measurement,5,4,,,,,,,,,,,,,
32,1,measurement,5,5,,,,,,,,,,,,,
33,1,measurement,5,6,Hotwire 1,3,,,,,,,,,,,
34,1,measurement,5,7,,,,,,,,,,,,,
35,1,measurement,5,8,,,,,,,,,,,,,
36,1,measurement,5,9,,,,,,,,,,,,,
37,1,measurement,5,10,,,,,,,,,,,,,
38,1,measurement,5,11,,,,,,,,,,,,,
39,1,measurement,5,12,,,,,,,,,,,,,
40,1,measurement,5,13,,,,,,,,,,,,,
41,1,measurement,5,14,,,,,,,,,,,,,
42,1,measurement,5,15,,,,,,,,,,,,,
43,1,measurement,5,16,,,,,,,,,,,,,
44,1,measurement,5,17,,,,,,,,,,,,,
45,1,measurement,5,18,,,,,,,,,,,,,
46,1,measurement,5,19,,,,,,,,,,,,,
47,1,measurement,5,20,,,,,,,,,,,,,
48,1,measurement,5,21,oil pressure,1,?,1,0,,,,,,,,
49,1,measurement,5,22,butterfly valve position,1,,,,,,,,,,,
50,1,measurement,5,23,ball valve position,1,,,,,,,,,,,
51,1,measurement,5,24,,,,,,,,,,,,,
52,1,measurement,5,25,,,,,,,,,,,,,
53,1,measurement,5,26,,,,,,,,,,,,,
54,1,measurement,5,27,,,,,,,,,,,,,
55,1,measurement,5,28,,,,,,,,,,,,,
56,1,measurement,5,29,,,,,,,,,,,,,
57,1,measurement,5,30,,,,,,,,,,,,,
58,1,measurement,5,31,,,,,,,,,,,,,
59,1,measurement,0,0,measured speed,4,RPM,1,,,,,,,,,
60,0,measurement,0,0,Torque encoder,4,RPM,39,,,,,,,,,
61,0,measurement,0,0,Torque phase,0,,,,,,,,,,,
62,1,measurement,0,0,pulsator encoder,4,RPM,1,,,,,,,,,
63,0,scanivalve,100,1,,0,PSI,6.894,,,,,,,,,
64,0,scanivalve,100,2,,0,PSI,6.894,,,,,,,,,
65,0,scanivalve,100,3,,0,PSI,6.894,,,,,,,,,
66,0,scanivalve,100,4,,0,PSI,6.894,,,,,,,,,
67,0,scanivalve,100,9,,0,PSI,6.894,,,,,,,,,
68,0,scanivalve,100,10,,0,PSI,6.894,,,,,,,,,
69,0,scanivalve,100,11,,0,PSI,6.894,,,,,,,,,
70,0,scanivalve,100,12,,0,PSI,6.894,,,,,,,,,
71,0,scanivalve,200,1,,0,PSI,6.894,,,,,,,,,
72,0,scanivalve,200,2,,0,PSI,6.894,,,,,,,,,
73,0,scanivalve,200,3,,0,PSI,6.894,,,,,,,,,
74,0,scanivalve,200,4,,0,PSI,6.894,,,,,,,,,
75,0,scanivalve,200,9,,0,PSI,6.894,,,,,,,,,
76,0,scanivalve,200,10,,0,PSI,6.894,,,,,,,,,
77,0,scanivalve,200,11,,0,PSI,6.894,,,,,,,,,
78,0,scanivalve,200,12,,0,PSI,6.894,,,,,,,,,
79,0,scanivalve,300,1,,0,PSI,689.4,,,,,,,,,
80,0,scanivalve,300,2,,0,PSI,689.4,,,,,,,,,
81,0,scanivalve,300,3,,0,PSI,689.4,,,,,,,,,
82,0,scanivalve,300,4,,0,PSI,689.4,,,,,,,,,
83,0,scanivalve,300,9,,0,PSI,689.4,,,,,,,,,
84,0,scanivalve,300,10,,0,PSI,689.4,,,,,,,,,
85,0,scanivalve,300,11,,0,PSI,689.4,,,,,,,,,
86,0,scanivalve,300,12,,0,PSI,689.4,,,,,,,,,
87,0,scanivalve,400,1,,0,PSI,689.4,,,,,,,,,
88,0,scanivalve,400,2,,0,PSI,689.4,,,,,,,,,
89,0,scanivalve,400,3,,0,PSI,689.4,,,,,,,,,
90,0,scanivalve,400,4,,0,PSI,689.4,,,,,,,,,
91,0,scanivalve,400,9,,0,PSI,689.4,,,,,,,,,
92,0,scanivalve,400,10,,0,PSI,689.4,,,,,,,,,
93,0,scanivalve,400,11,,0,PSI,689.4,,,,,,,,,
94,0,scanivalve,400,12,,0,PSI,689.4,,,,,,,,,
95,1,output,6,0,ball valve drive,1,%,-10,10,,,,,,,,
96,1,output,6,1,,,,,,,,,,,,,
97,1,output,6,2,,,,,,,,,,,,,
98,1,output,6,3,butterfly valve drive,1,%,-10,10,,,,,,,,
99,1,digital,7,0,,,,,,,,,,,,,
100,1,digital,7,1,,,,,,,,,,,,,
101,1,digital,7,2,,,,,,,,,,,,,
102,1,digital,7,3,shaft encoder,4,RPM,8,,,,,,,,,
103,1,digital,7,4,e-stop,,,,,,,,,,,,
104,1,digital,7,5,,,,,,,,,,,,,
105,1,digital,7,6,,,,,,,,,,,,,
106,1,digital,7,7,pulsator encoder,4,RPM,1,,,,,,,,,
107,1,digital,8,0,,,,,,,,,,,,,
108,1,digital,8,1,,,,,,,,,,,,,
109,1,digital,8,2,,,,,,,,,,,,,
110,1,digital,8,3,,,,,,,,,,,,,
111,1,digital,8,4,,,,,,,,,,,,,
112,1,digital,8,5,,,,,,,,,,,,,
113,1,digital,8,6,,,,,,,,,,,,,
114,1,digital,8,7,,,,,,,,,,,,,
