Port,Range,Active,Name,,
101,6.894,0,,,
102,6.894,0,,,
103,6.894,0,,,
104,6.894,0,,,
109,6.894,0,,,
110,6.894,0,,,
111,6.894,0,,,
112,6.894,0,,,
201,6.894,0,,,
202,6.894,0,,,
203,6.894,0,,,
204,6.894,0,,,
209,6.894,0,,,
210,6.894,0,,,
211,6.894,0,,,
212,6.894,0,,,
301,689.4,0,,,
302,689.4,0,,,
303,689.4,0,,,
304,689.4,0,,,
309,689.4,0,,,
310,689.4,0,,,
311,689.4,0,,,
312,689.4,0,,,
401,689.4,0,,,
402,689.4,0,,,
403,689.4,0,,,
404,689.4,0,,,
409,689.4,0,,,
410,689.4,0,,,
411,689.4,0,,,
412,689.4,0,,,
